"Holiday (0=No, 1=Yes)",Temperature (K),Rainfall per hour,Snowfall per hour,Clouds,Hour,Traffic Volume per hour,Weather,Weather description,Date_Time,
0,289.18,0,0,1,10,4603,Clear,sky is clear,2012/10/4 10:00,
0,291.55,0,0,1,11,4884,Clear,sky is clear,2012/10/4 11:00,
0,294.97,0,0,1,12,5104,Clear,sky is clear,2012/10/4 12:00,
0,296.38,0,0,1,13,5178,Clear,sky is clear,2012/10/4 13:00,
0,297.32,0,0,1,14,5501,Clear,sky is clear,2012/10/4 14:00,
0,298.17,0,0,1,15,5713,Clear,sky is clear,2012/10/4 15:00,
0,298.06,0,0,20,16,6292,Clouds,few clouds,2012/10/4 16:00,
0,297.67,0,0,20,17,6057,Clouds,few clouds,2012/10/4 17:00,
0,296.36,0,0,40,18,4907,Clouds,scattered clouds,2012/10/4 18:00,
0,293.85,0,0,40,19,3503,Clouds,scattered clouds,2012/10/4 19:00,
0,292.43,0,0,40,20,3037,Clouds,scattered clouds,2012/10/4 20:00,
0,291.77,0,0,75,21,2822,Clouds,broken clouds,2012/10/4 21:00,
0,291.36,0,0,75,22,1992,Clouds,broken clouds,2012/10/4 22:00,
0,291.12,0,0,75,23,1166,Clouds,broken clouds,2012/10/4 23:00,
0,290.63,0,0,75,0,627,Clouds,broken clouds,2012/10/5 0:00,
0,290.46,0,0,40,1,388,Clouds,scattered clouds,2012/10/5 1:00,
0,289.26,0,0,0,3,368,Clear,sky is clear,2012/10/5 3:00,
0,283.21,0,0,75,5,2489,Clouds,broken clouds,2012/10/5 5:00,
0,282.24,0,0,90,6,5537,Clouds,overcast clouds,2012/10/5 6:00,
0,281.69,0,0,90,7,6628,Clouds,overcast clouds,2012/10/5 7:00,
0,280.57,0,0,90,8,5534,Clouds,overcast clouds,2012/10/5 8:00,
0,280.02,0,0,75,9,5403,Clouds,broken clouds,2012/10/5 9:00,
0,280.11,0,0,75,10,4770,Clouds,broken clouds,2012/10/5 10:00,
0,280,0,0,90,11,5217,Clouds,overcast clouds,2012/10/5 11:00,
0,280.53,0,0,90,12,5870,Clouds,overcast clouds,2012/10/5 12:00,
0,281.43,0,0,75,13,5967,Clouds,broken clouds,2012/10/5 13:00,
0,281.78,0,0,90,14,6108,Clouds,overcast clouds,2012/10/5 14:00,
0,281.91,0,0,90,15,6128,Clouds,overcast clouds,2012/10/5 15:00,
0,281.73,0,0,90,16,6069,Clouds,overcast clouds,2012/10/5 16:00,
0,281.42,0,0,90,17,6169,Clouds,overcast clouds,2012/10/5 17:00,
0,280.87,0,0,90,18,5384,Clouds,overcast clouds,2012/10/5 18:00,
0,280.15,0,0,90,19,4063,Clouds,overcast clouds,2012/10/5 19:00,
0,279.78,0,0,90,20,3364,Clouds,overcast clouds,2012/10/5 20:00,
0,279.65,0,0,75,21,2971,Clouds,broken clouds,2012/10/5 21:00,
0,279.22,0,0,40,22,2450,Clouds,scattered clouds,2012/10/5 22:00,
0,279.06,0,0,40,23,1832,Clouds,scattered clouds,2012/10/5 23:00,
0,278.81,0,0,90,0,1231,Clouds,overcast clouds,2012/10/6 0:00,
0,278.55,0,0,90,1,718,Clouds,overcast clouds,2012/10/6 1:00,
0,278.59,0,0,90,2,545,Clouds,overcast clouds,2012/10/6 2:00,
0,276.99,0,0,75,4,411,Clouds,broken clouds,2012/10/6 4:00,
0,276.35,0,0,20,5,688,Clouds,few clouds,2012/10/6 5:00,
0,275.4,0,0,1,6,1352,Clear,sky is clear,2012/10/6 6:00,
0,275.17,0,0,1,7,2072,Clear,sky is clear,2012/10/6 7:00,
0,274.99,0,0,1,8,3342,Clear,sky is clear,2012/10/6 8:00,
0,275.09,0,0,40,9,4258,Clouds,scattered clouds,2012/10/6 9:00,
0,276.88,0,0,20,10,4861,Clouds,few clouds,2012/10/6 10:00,
0,278.04,0,0,20,11,5191,Clouds,few clouds,2012/10/6 11:00,
0,279.08,0,0,40,12,5669,Clouds,scattered clouds,2012/10/6 12:00,
0,280.12,0,0,75,13,5074,Clouds,broken clouds,2012/10/6 13:00,
0,280.25,0,0,75,14,5025,Clouds,broken clouds,2012/10/6 14:00,
0,280,0,0,75,15,5153,Clouds,broken clouds,2012/10/6 15:00,
0,279.06,0,0,90,16,5024,Clouds,overcast clouds,2012/10/6 16:00,
0,278.91,0,0,90,17,4779,Clouds,overcast clouds,2012/10/6 17:00,
0,278.39,0,0,90,18,4362,Clouds,overcast clouds,2012/10/6 18:00,
0,278.16,0,0,90,19,3860,Clouds,overcast clouds,2012/10/6 19:00,
0,278.16,0,0,90,20,3160,Clouds,overcast clouds,2012/10/6 20:00,
0,277.93,0,0,90,21,2992,Clouds,overcast clouds,2012/10/6 21:00,
0,276.9,0,0,90,22,3202,Clouds,overcast clouds,2012/10/6 22:00,
0,276.34,0,0,75,23,1941,Clouds,broken clouds,2012/10/6 23:00,
0,276.11,0,0,75,0,1233,Clouds,broken clouds,2012/10/7 0:00,
0,275.73,0,0,90,3,323,Clouds,overcast clouds,2012/10/7 3:00,
0,275.65,0,0,90,4,312,Clouds,overcast clouds,2012/10/7 4:00,
0,275.51,0,0,75,5,627,Clouds,broken clouds,2012/10/7 5:00,
0,275.05,0,0,90,6,1508,Clouds,overcast clouds,2012/10/7 6:00,
0,274.77,0,0,90,7,1539,Clouds,overcast clouds,2012/10/7 7:00,
0,274.77,0,0,75,8,2232,Clouds,broken clouds,2012/10/7 8:00,
0,275.55,0,0,75,9,4568,Clouds,broken clouds,2012/10/7 9:00,
0,276.24,0,0,75,10,4624,Clouds,broken clouds,2012/10/7 10:00,
0,277.01,0,0,90,11,4529,Clouds,overcast clouds,2012/10/7 11:00,
0,277.43,0,0,90,12,5139,Clouds,overcast clouds,2012/10/7 12:00,
0,278.45,0,0,90,13,6640,Clouds,overcast clouds,2012/10/7 13:00,
0,279.27,0,0,90,14,6589,Clouds,overcast clouds,2012/10/7 14:00,
0,279.27,0,0,90,15,4429,Clouds,overcast clouds,2012/10/7 15:00,
0,279.44,0,0,90,16,4329,Clouds,overcast clouds,2012/10/7 16:00,
0,279.32,0,0,90,17,3833,Clouds,overcast clouds,2012/10/7 17:00,
0,279.27,0,0,90,18,4015,Clouds,overcast clouds,2012/10/7 18:00,
0,278.11,0,0,90,19,3382,Clouds,overcast clouds,2012/10/7 19:00,
0,276.79,0,0,75,20,2815,Clouds,broken clouds,2012/10/7 20:00,
0,275.73,0,0,90,21,2110,Clouds,overcast clouds,2012/10/7 21:00,
0,274.88,0,0,75,22,1555,Clouds,broken clouds,2012/10/7 22:00,
0,273.92,0,0,20,23,959,Clouds,few clouds,2012/10/7 23:00,
1,273.08,0,0,20,0,455,Clouds,few clouds,2012/10/8 0:00,
1,272.62,0,0,20,1,336,Clouds,few clouds,2012/10/8 1:00,
1,271.78,0,0,1,2,265,Clear,sky is clear,2012/10/8 2:00,
1,271.05,0,0,1,3,314,Clear,sky is clear,2012/10/8 3:00,
1,270.63,0,0,1,4,779,Clear,sky is clear,2012/10/8 4:00,
1,270.33,0,0,1,5,2571,Clear,sky is clear,2012/10/8 5:00,
1,269.61,0,0,20,6,5563,Clouds,few clouds,2012/10/8 6:00,
1,270.01,0,0,20,7,6676,Clouds,few clouds,2012/10/8 7:00,
1,271.23,0,0,20,8,5966,Clouds,few clouds,2012/10/8 8:00,
1,273.71,0,0,20,9,4832,Clouds,few clouds,2012/10/8 9:00,
1,276.77,0,0,20,10,4395,Clouds,few clouds,2012/10/8 10:00,
1,279.47,0,0,20,11,4411,Clouds,few clouds,2012/10/8 11:00,
1,279.84,0,0,1,12,4648,Clear,sky is clear,2012/10/8 12:00,
1,282.34,0,0,40,13,4602,Clouds,scattered clouds,2012/10/8 13:00,
1,282.94,0,0,40,14,5125,Clouds,scattered clouds,2012/10/8 14:00,
1,283.48,0,0,1,15,5502,Clear,sky is clear,2012/10/8 15:00,
1,284.33,0,0,1,16,5979,Clear,sky is clear,2012/10/8 16:00,
1,284.48,0,0,40,17,5663,Clouds,scattered clouds,2012/10/8 17:00,
1,284.23,0,0,40,18,4259,Clouds,scattered clouds,2012/10/8 18:00,
1,281.99,0,0,20,19,3069,Clouds,few clouds,2012/10/8 19:00,
1,279.81,0,0,1,20,2378,Clear,sky is clear,2012/10/8 20:00,
1,279.35,0,0,1,21,2030,Clear,sky is clear,2012/10/8 21:00,
1,278.9,0,0,1,22,1400,Clear,sky is clear,2012/10/8 22:00,
1,278.46,0,0,1,23,917,Clear,sky is clear,2012/10/8 23:00,
0,277.78,0,0,1,0,515,Clear,sky is clear,2012/10/9 0:00,
0,277.27,0,0,1,1,302,Clear,sky is clear,2012/10/9 1:00,
0,277.47,0,0,1,2,251,Clear,sky is clear,2012/10/9 2:00,
0,276.97,0,0,20,4,798,Clouds,few clouds,2012/10/9 4:00,
0,276.52,0,0,40,5,2678,Clouds,scattered clouds,2012/10/9 5:00,
0,276.6,0,0,40,6,5733,Clouds,scattered clouds,2012/10/9 6:00,
0,277.31,0,0,75,7,6449,Clouds,broken clouds,2012/10/9 7:00,
0,278.38,0,0,90,8,5765,Clouds,overcast clouds,2012/10/9 8:00,
0,279.35,0,0,90,9,5599,Clouds,overcast clouds,2012/10/9 9:00,
0,281.37,0,0,90,10,4534,Clouds,overcast clouds,2012/10/9 10:00,
0,283.11,0,0,90,11,4691,Clouds,overcast clouds,2012/10/9 11:00,
0,284.08,0,0,75,12,5067,Clouds,broken clouds,2012/10/9 12:00,
0,285.14,0,0,75,13,5030,Clouds,broken clouds,2012/10/9 13:00,
0,286.35,0,0,90,14,5300,Clouds,overcast clouds,2012/10/9 14:00,
0,287.23,0,0,100,15,5777,Rain,light rain,2012/10/9 15:00,
0,288.53,0,0,90,16,6349,Clouds,overcast clouds,2012/10/9 16:00,
0,290.37,0,0,90,17,6127,Clouds,overcast clouds,2012/10/9 17:00,
0,290.13,0,0,90,18,4460,Clouds,overcast clouds,2012/10/9 18:00,
0,288.86,0,0,75,19,3418,Clouds,broken clouds,2012/10/9 19:00,
0,287.36,0,0,90,20,2775,Clouds,overcast clouds,2012/10/9 20:00,
0,285.11,0,0,90,21,2306,Clouds,overcast clouds,2012/10/9 21:00,
0,283.46,0,0,90,22,1846,Clouds,overcast clouds,2012/10/9 22:00,
0,282.45,0,0,90,23,947,Clouds,overcast clouds,2012/10/9 23:00,
0,281.88,0,0,90,0,494,Clouds,overcast clouds,2012/10/10 0:00,
0,281.78,0,0,90,1,332,Clouds,overcast clouds,2012/10/10 1:00,
0,281.09,0,0,75,2,261,Clouds,broken clouds,2012/10/10 2:00,
0,281.17,0,0,90,3,361,Clouds,overcast clouds,2012/10/10 3:00,
0,281.25,0,0,92,6,5875,Clear,sky is clear,2012/10/10 6:00,
0,281.25,0,0,99,7,6793,Rain,light rain,2012/10/10 7:00,
0,281.25,0,0,99,7,6793,Drizzle,light intensity drizzle,2012/10/10 7:00,
0,280.1,0,0,99,8,6283,Rain,light rain,2012/10/10 8:00,
0,280.1,0,0,99,8,6283,Drizzle,light intensity drizzle,2012/10/10 8:00,
0,279.61,0,0,99,9,5680,Rain,light rain,2012/10/10 9:00,
0,279.61,0,0,99,9,5680,Drizzle,light intensity drizzle,2012/10/10 9:00,
0,279.67,0,0,99,10,4632,Clear,sky is clear,2012/10/10 10:00,
0,280.19,0,0,1,11,4887,Clear,sky is clear,2012/10/10 11:00,
0,282.09,0,0,75,12,5030,Clouds,broken clouds,2012/10/10 12:00,
0,282.26,0,0,75,13,5067,Clouds,broken clouds,2012/10/10 13:00,
0,282.05,0,0,90,14,5227,Clouds,overcast clouds,2012/10/10 14:00,
0,281.59,0,0,90,15,5610,Clouds,overcast clouds,2012/10/10 15:00,
0,281.23,0,0,81,16,6286,Clear,sky is clear,2012/10/10 16:00,
0,282.6,0,0,81,18,4775,Clear,sky is clear,2012/10/10 18:00,
0,282.6,0,0,81,19,3340,Clear,sky is clear,2012/10/10 19:00,
0,282.6,0,0,81,20,3013,Clear,sky is clear,2012/10/10 20:00,
0,282.6,0,0,81,21,2603,Clear,sky is clear,2012/10/10 21:00,
0,282.6,0,0,81,22,1910,Clear,sky is clear,2012/10/10 22:00,
0,282.6,0,0,81,23,1037,Clear,sky is clear,2012/10/10 23:00,
0,273.9,0,0,1,1,347,Clear,sky is clear,2012/10/11 1:00,
0,274.4,0,0,75,3,350,Clouds,broken clouds,2012/10/11 3:00,
0,274.05,0,0,75,4,850,Clouds,broken clouds,2012/10/11 4:00,
0,273.71,0,0,40,5,2791,Clouds,scattered clouds,2012/10/11 5:00,
0,272.66,0,0,1,6,5809,Clear,sky is clear,2012/10/11 6:00,
0,272.65,0,0,1,7,6798,Clear,sky is clear,2012/10/11 7:00,
0,272.52,0,0,1,8,6304,Clear,sky is clear,2012/10/11 8:00,
0,275.19,0,0,20,9,5291,Clouds,few clouds,2012/10/11 9:00,
0,275.34,0,0,1,10,4638,Clear,sky is clear,2012/10/11 10:00,
0,284.1,0,0,50,14,5557,Clear,sky is clear,2012/10/11 14:00,
0,284.1,0,0,50,15,5818,Clear,sky is clear,2012/10/11 15:00,
0,283.78,0,0,75,16,6272,Clouds,broken clouds,2012/10/11 16:00,
0,283.52,0,0,75,17,5944,Clouds,broken clouds,2012/10/11 17:00,
0,283.32,0,0,90,18,4949,Clouds,overcast clouds,2012/10/11 18:00,
0,282.06,0,0,90,19,3511,Clouds,overcast clouds,2012/10/11 19:00,
0,281.95,0,0,90,20,3039,Clouds,overcast clouds,2012/10/11 20:00,
0,281.81,0,0,90,21,2679,Clouds,overcast clouds,2012/10/11 21:00,
0,282.16,0,0,90,22,2094,Clouds,overcast clouds,2012/10/11 22:00,
0,282.53,0,0,90,23,1284,Clouds,overcast clouds,2012/10/11 23:00,
0,283.91,0,0,90,0,630,Clouds,overcast clouds,2012/10/12 0:00,
0,284.64,0,0,90,1,410,Clouds,overcast clouds,2012/10/12 1:00,
0,284.61,0,0,90,2,331,Clouds,overcast clouds,2012/10/12 2:00,
0,283.18,0,0,72,3,372,Drizzle,light intensity drizzle,2012/10/12 3:00,
0,282.26,0,0,72,4,739,Rain,light rain,2012/10/12 4:00,
0,280.77,0,0,72,5,2561,Drizzle,light intensity drizzle,2012/10/12 5:00,
0,278.53,0,0,75,6,5586,Clouds,broken clouds,2012/10/12 6:00,
0,277.64,0,0,75,7,6992,Clouds,broken clouds,2012/10/12 7:00,
0,277.9,0,0,90,8,5860,Clouds,overcast clouds,2012/10/12 8:00,
0,278.18,0,0,90,9,5230,Clouds,overcast clouds,2012/10/12 9:00,
0,279.29,0,0,75,10,4864,Clouds,broken clouds,2012/10/12 10:00,
0,280.45,0,0,75,11,5146,Clouds,broken clouds,2012/10/12 11:00,
0,280.95,0,0,40,12,5526,Clouds,scattered clouds,2012/10/12 12:00,
0,281.74,0,0,40,13,5383,Clouds,scattered clouds,2012/10/12 13:00,
0,281.84,0,0,75,14,5758,Clouds,broken clouds,2012/10/12 14:00,
0,282.45,0,0,75,15,5889,Clouds,broken clouds,2012/10/12 15:00,
0,282.2,0,0,75,16,6057,Clouds,broken clouds,2012/10/12 16:00,
0,281.54,0,0,40,17,6028,Clouds,scattered clouds,2012/10/12 17:00,
0,280.21,0,0,20,18,5257,Clouds,few clouds,2012/10/12 18:00,
0,282.2,0,0,56,23,1897,Clear,sky is clear,2012/10/12 23:00,
0,272.58,0,0,1,0,1335,Clear,sky is clear,2012/10/13 0:00,
0,272.06,0,0,1,1,769,Clear,sky is clear,2012/10/13 1:00,
0,270.99,0,0,1,2,570,Clear,sky is clear,2012/10/13 2:00,
0,270.29,0,0,20,3,413,Clouds,few clouds,2012/10/13 3:00,
0,269.48,0,0,1,4,399,Clear,sky is clear,2012/10/13 4:00,
0,269.27,0,0,1,5,740,Clear,sky is clear,2012/10/13 5:00,
0,268.91,0,0,1,6,1420,Clear,sky is clear,2012/10/13 6:00,
0,268.98,0,0,75,7,2220,Clouds,broken clouds,2012/10/13 7:00,
0,269.23,0,0,40,8,3479,Clouds,scattered clouds,2012/10/13 8:00,
0,272.61,0,0,40,9,4546,Clouds,scattered clouds,2012/10/13 9:00,
0,276.78,0,0,20,10,4579,Clouds,few clouds,2012/10/13 10:00,
0,279.22,0,0,1,11,4438,Clear,sky is clear,2012/10/13 11:00,
0,280.35,0,0,1,12,4623,Clear,sky is clear,2012/10/13 12:00,
0,281.81,0,0,1,13,4440,Clear,sky is clear,2012/10/13 13:00,
0,283.05,0,0,1,14,4495,Clear,sky is clear,2012/10/13 14:00,
0,283.96,0,0,1,15,4483,Clear,sky is clear,2012/10/13 15:00,
0,284.53,0,0,1,16,4591,Clear,sky is clear,2012/10/13 16:00,
0,284.44,0,0,1,17,4477,Clear,sky is clear,2012/10/13 17:00,
0,283.64,0,0,1,18,4221,Clear,sky is clear,2012/10/13 18:00,
0,281.85,0,0,20,19,3672,Clouds,few clouds,2012/10/13 19:00,
0,281.38,0,0,1,20,3015,Clear,sky is clear,2012/10/13 20:00,
0,281.84,0,0,75,21,2769,Clouds,broken clouds,2012/10/13 21:00,
0,282.23,0,0,90,22,2875,Clouds,overcast clouds,2012/10/13 22:00,
0,282.18,0,0,90,23,1931,Clouds,overcast clouds,2012/10/13 23:00,
0,282.49,0,0,90,0,1309,Clouds,overcast clouds,2012/10/14 0:00,
0,282.54,0,0,90,1,870,Clouds,overcast clouds,2012/10/14 1:00,
0,282.58,0,0,90,2,654,Clouds,overcast clouds,2012/10/14 2:00,
0,282.23,0,0,90,3,364,Clouds,overcast clouds,2012/10/14 3:00,
0,282.08,0,0,90,4,262,Clouds,overcast clouds,2012/10/14 4:00,
0,282.23,0,0,90,5,505,Clouds,overcast clouds,2012/10/14 5:00,
0,282.24,0,0,90,6,861,Clouds,overcast clouds,2012/10/14 6:00,
0,282.24,0,0,90,7,1132,Clouds,overcast clouds,2012/10/14 7:00,
0,282.24,0,0,57,8,1797,Mist,mist,2012/10/14 8:00,
0,282.43,0,0,57,9,2685,Drizzle,light intensity drizzle,2012/10/14 9:00,
0,282.43,0,0,57,9,2685,Mist,mist,2012/10/14 9:00,
0,282.43,0,0,57,9,2685,Haze,haze,2012/10/14 9:00,
0,282.33,0,0,57,10,3370,Drizzle,light intensity drizzle,2012/10/14 10:00,
0,282.33,0,0,57,10,3370,Mist,mist,2012/10/14 10:00,
0,282.82,0,0,57,11,3662,Drizzle,light intensity drizzle,2012/10/14 11:00,
0,282.82,0,0,57,11,3662,Mist,mist,2012/10/14 11:00,
0,283.33,0,0,57,12,4076,Mist,mist,2012/10/14 12:00,
0,283.33,0,0,57,12,4076,Rain,light rain,2012/10/14 12:00,
0,283.33,0,0,57,12,4076,Drizzle,light intensity drizzle,2012/10/14 12:00,
0,283.75,0,0,93,13,4128,Rain,light rain,2012/10/14 13:00,
0,283.75,0,0,93,13,4128,Mist,mist,2012/10/14 13:00,
0,283.75,0,0,93,13,4128,Drizzle,light intensity drizzle,2012/10/14 13:00,
0,284.09,0,0,93,14,4358,Mist,mist,2012/10/14 14:00,
0,284.09,0,0,93,14,4358,Rain,light rain,2012/10/14 14:00,
0,284.09,0,0,93,14,4358,Drizzle,light intensity drizzle,2012/10/14 14:00,
0,284.55,0,0,93,15,4342,Mist,mist,2012/10/14 15:00,
0,284.55,0,0,93,15,4342,Rain,light rain,2012/10/14 15:00,
0,284.68,0,0,93,16,4234,Mist,mist,2012/10/14 16:00,
0,284.64,0,0,93,17,4271,Rain,light rain,2012/10/14 17:00,
0,284.64,0,0,93,17,4271,Mist,mist,2012/10/14 17:00,
0,284.4,0,0,93,18,4080,Mist,mist,2012/10/14 18:00,
0,284.17,0,0,93,19,3453,Mist,mist,2012/10/14 19:00,
0,284.03,0,0,93,20,2718,Mist,mist,2012/10/14 20:00,
0,283.58,0,0,93,21,2439,Mist,mist,2012/10/14 21:00,
0,283.04,0,0,93,22,1819,Mist,mist,2012/10/14 22:00,
0,281.95,0,0,93,23,1002,Mist,mist,2012/10/14 23:00,
0,281.95,0,0,93,23,1002,Fog,fog,2012/10/14 23:00,
0,281.61,0,0,93,0,542,Mist,mist,2012/10/15 0:00,
0,281.61,0,0,93,0,542,Fog,fog,2012/10/15 0:00,
0,281.57,0,0,85,1,303,Fog,fog,2012/10/15 1:00,
0,281.42,0,0,85,2,239,Fog,fog,2012/10/15 2:00,
0,281.29,0,0,85,3,335,Mist,mist,2012/10/15 3:00,
0,281.29,0,0,85,3,335,Fog,fog,2012/10/15 3:00,
0,281.02,0,0,85,4,810,Mist,mist,2012/10/15 4:00,
0,281.02,0,0,85,4,810,Fog,fog,2012/10/15 4:00,
0,280.82,0,0,85,5,2606,Mist,mist,2012/10/15 5:00,
0,280.82,0,0,85,5,2606,Fog,fog,2012/10/15 5:00,
0,280.39,0,0,85,6,5714,Mist,mist,2012/10/15 6:00,
0,280.19,0,0,100,7,6798,Mist,mist,2012/10/15 7:00,
0,279.82,0,0,100,8,6114,Mist,mist,2012/10/15 8:00,
0,279.75,0,0,100,9,5094,Mist,mist,2012/10/15 9:00,
0,280.07,0,0,100,10,4473,Mist,mist,2012/10/15 10:00,
0,280.32,0,0,90,11,4529,Clouds,overcast clouds,2012/10/15 11:00,
0,281.72,0,0,100,12,4823,Clear,sky is clear,2012/10/15 12:00,
0,284.01,0,0,40,13,4872,Clouds,scattered clouds,2012/10/15 13:00,
0,285.88,0,0,1,14,5238,Clear,sky is clear,2012/10/15 14:00,
0,286.87,0,0,1,15,5584,Clear,sky is clear,2012/10/15 15:00,
0,287.6,0,0,20,16,6246,Clouds,few clouds,2012/10/15 16:00,
0,287.27,0,0,20,17,5957,Clouds,few clouds,2012/10/15 17:00,
0,286.18,0,0,20,18,4535,Clouds,few clouds,2012/10/15 18:00,
0,285.2,0,0,75,19,3234,Clouds,broken clouds,2012/10/15 19:00,
0,284.68,0,0,75,20,2677,Clouds,broken clouds,2012/10/15 20:00,
0,284.49,0,0,90,21,2077,Clouds,overcast clouds,2012/10/15 21:00,
0,283.54,0,0,20,22,1380,Clouds,few clouds,2012/10/15 22:00,
0,282.33,0,0,75,23,927,Clouds,broken clouds,2012/10/15 23:00,
0,281.21,0,0,20,0,500,Clouds,few clouds,2012/10/16 0:00,
0,279.87,0,0,1,1,324,Clear,sky is clear,2012/10/16 1:00,
0,278.93,0,0,1,2,257,Clear,sky is clear,2012/10/16 2:00,
0,277.91,0,0,1,3,354,Clear,sky is clear,2012/10/16 3:00,
0,277.21,0,0,1,4,769,Clear,sky is clear,2012/10/16 4:00,
0,276.61,0,0,1,5,2769,Clear,sky is clear,2012/10/16 5:00,
0,276.11,0,0,1,6,5789,Clear,sky is clear,2012/10/16 6:00,
0,274.81,0,0,20,7,7055,Clouds,few clouds,2012/10/16 7:00,
0,274.99,0,0,20,8,6408,Clouds,few clouds,2012/10/16 8:00,
0,277.91,0,0,20,9,5254,Clouds,few clouds,2012/10/16 9:00,
0,280.71,0,0,20,10,4547,Clouds,few clouds,2012/10/16 10:00,
0,283.85,0,0,20,11,4784,Clouds,few clouds,2012/10/16 11:00,
0,286.01,0,0,40,12,5015,Clouds,scattered clouds,2012/10/16 12:00,
0,286.31,0,0,1,13,5057,Clear,sky is clear,2012/10/16 13:00,
0,288.15,0,0,75,14,5430,Clouds,broken clouds,2012/10/16 14:00,
0,289.15,0,0,75,15,5813,Clouds,broken clouds,2012/10/16 15:00,
0,288.99,0,0,75,16,6496,Clouds,broken clouds,2012/10/16 16:00,
0,288.86,0,0,75,17,6429,Clouds,broken clouds,2012/10/16 17:00,
0,288.16,0,0,90,18,5142,Clouds,overcast clouds,2012/10/16 18:00,
0,287.28,0,0,68,19,3311,Rain,light rain,2012/10/16 19:00,
0,287.04,0,0,90,20,2777,Clouds,overcast clouds,2012/10/16 20:00,
0,286.9,0,0,90,21,2331,Clouds,overcast clouds,2012/10/16 21:00,
0,287.09,0,0,90,22,1767,Clouds,overcast clouds,2012/10/16 22:00,
0,287.09,0,0,90,23,1093,Clouds,overcast clouds,2012/10/16 23:00,
0,286.89,0,0,75,0,554,Clouds,broken clouds,2012/10/17 0:00,
0,286.93,0,0,75,1,333,Clouds,broken clouds,2012/10/17 1:00,
